state_abb,forecast_date,forecast_month,forecast_year,forecast,lower_95,upper_95,model,training_end
AL,2025-01-01,1,2025,18451.679499200123,16356.779579172784,20546.579419227462,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
AL,2025-02-01,2,2025,18050.781587975223,14865.811691263982,21235.751484686465,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
AL,2025-03-01,3,2025,19075.170397897855,14827.555183953931,23322.785611841777,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
AR,2025-01-01,1,2025,11679.292413983614,9928.506236903531,13430.078591063697,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
AR,2025-02-01,2,2025,10365.158846522016,8282.736108552466,12447.581584491565,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
AR,2025-03-01,3,2025,11846.012724563,9695.273194593849,13996.75225453215,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
AZ,2025-01-01,1,2025,19154.82682820642,17299.88011300588,21009.773543406962,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
AZ,2025-02-01,2,2025,18633.826331149052,16070.283886766882,21197.36877553122,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
AZ,2025-03-01,3,2025,19633.78077146878,16536.09896555912,22731.462577378443,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
CO,2025-01-01,1,2025,25028.3496829483,22307.82703221888,27748.872333677722,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
CO,2025-02-01,2,2025,22184.324277811254,18965.07419259606,25403.574363026448,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
CO,2025-03-01,3,2025,24441.358488531936,20619.26453067492,28263.452446388954,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
CT,2025-01-01,1,2025,8096.763930274623,7032.644831532898,9160.883029016348,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
CT,2025-02-01,2,2025,7290.767161814766,6042.187036482264,8539.347287147268,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
CT,2025-03-01,3,2025,7979.481845240213,6676.299455164348,9282.664235316079,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
DC,2025-01-01,1,2025,5232.1091377051125,3845.6363711178296,6618.581904292396,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
DC,2025-02-01,2,2025,5127.362325502459,3172.274709669204,7082.449941335713,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
DC,2025-03-01,3,2025,5236.536678723754,2834.9574163876555,7638.115941059854,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
DE,2025-01-01,1,2025,3711.0843961274527,3207.8829366118,4214.285855643106,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
DE,2025-02-01,2,2025,3360.7039569684534,2749.2584860508605,3972.1494278860464,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
DE,2025-03-01,3,2025,3689.639313055832,3046.7523960285735,4332.526230083091,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
FL,2025-01-01,1,2025,34032.911993899055,29470.19974816555,38595.62423963256,"SARIMA(2, 1, 0)x(1, 1, 0, 12)",2024-12-01
FL,2025-02-01,2,2025,31248.59789618021,25019.258604482566,37477.937187877855,"SARIMA(2, 1, 0)x(1, 1, 0, 12)",2024-12-01
FL,2025-03-01,3,2025,33590.446501771396,26206.553117230902,40974.33988631189,"SARIMA(2, 1, 0)x(1, 1, 0, 12)",2024-12-01
IA,2025-01-01,1,2025,7973.484850337648,6831.951064072462,9115.018636602834,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
IA,2025-02-01,2,2025,7247.967758405419,5722.344709813472,8773.590806997367,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
IA,2025-03-01,3,2025,8435.048370294855,6628.120417309492,10241.976323280218,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
ID,2025-01-01,1,2025,4144.714699650885,3700.658582521894,4588.770816779877,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
ID,2025-02-01,2,2025,3999.537133712255,3487.0731143122966,4512.001153112214,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
ID,2025-03-01,3,2025,4413.829132400368,3883.174820448595,4944.48344435214,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
IL,2025-01-01,1,2025,40494.48003407388,34981.76626914747,46007.19379900029,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
IL,2025-02-01,2,2025,39352.9797831615,31801.35722656479,46904.60233975821,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
IL,2025-03-01,3,2025,41853.76471681825,31929.569543437585,51777.95989019892,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
IN,2025-01-01,1,2025,16533.066436854784,14053.935640473945,19012.197233235624,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
IN,2025-02-01,2,2025,15460.925526131974,12216.874849746206,18704.976202517744,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
IN,2025-03-01,3,2025,16780.04506838547,12938.208592944698,20621.88154382624,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
KS,2025-01-01,1,2025,8817.684091355268,7240.636773267429,10394.731409443106,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
KS,2025-02-01,2,2025,7779.547437419538,5926.295408256781,9632.799466582295,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
KS,2025-03-01,3,2025,9059.95067124435,7038.508710165444,11081.392632323257,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
KY,2025-01-01,1,2025,10176.660625564331,8679.438971996584,11673.882279132078,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
KY,2025-02-01,2,2025,9327.675693797262,7468.751486638754,11186.59990095577,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
KY,2025-03-01,3,2025,10784.644701418165,8838.086673528323,12731.202729308006,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
LA,2025-01-01,1,2025,14209.138720409832,12640.365743958393,15777.91169686127,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
LA,2025-02-01,2,2025,13361.59153410797,11297.943582383596,15425.239485832346,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
LA,2025-03-01,3,2025,14097.437238013725,11455.439486129606,16739.434989897843,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
MA,2025-01-01,1,2025,14959.309423243227,12189.27402818063,17729.344818305824,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
MA,2025-02-01,2,2025,13960.38179446453,10209.076778092407,17711.686810836654,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
MA,2025-03-01,3,2025,15416.506781830543,11534.600490018223,19298.413073642863,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
MD,2025-01-01,1,2025,23069.560337494117,20966.61483008587,25172.505844902364,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
MD,2025-02-01,2,2025,22118.07600090747,19298.65922876461,24937.49277305033,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
MD,2025-03-01,3,2025,23135.653427500212,19665.460218512897,26605.846636487528,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
ME,2025-01-01,1,2025,2784.304954637339,2421.0562749982646,3147.5536342764135,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
ME,2025-02-01,2,2025,2650.410895195458,2160.8053446315653,3140.016445759351,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
ME,2025-03-01,3,2025,2980.6444317154132,2426.7885940031874,3534.500269427639,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
MI,2025-01-01,1,2025,27736.327563744275,24883.237619057047,30589.417508431503,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
MI,2025-02-01,2,2025,26465.895480287167,23104.536158104092,29827.25480247024,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
MI,2025-03-01,3,2025,29007.99435433371,25424.428059311005,32591.560649356416,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
MN,2025-01-01,1,2025,14345.361594763934,12333.475539374343,16357.247650153524,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
MN,2025-02-01,2,2025,13070.049352951433,9928.16907023947,16211.929635663397,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
MN,2025-03-01,3,2025,14365.331554973003,10253.029479212368,18477.63363073364,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
MO,2025-01-01,1,2025,19896.882336051087,17341.553286044298,22452.211386057876,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
MO,2025-02-01,2,2025,18409.70721891947,15136.849860086768,21682.56457775217,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
MO,2025-03-01,3,2025,20321.023477590374,16454.085954621147,24187.9610005596,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
MS,2025-01-01,1,2025,5202.864609194142,4423.8417724346,5981.887445953684,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
MS,2025-02-01,2,2025,4885.288620990729,3944.9492533427683,5825.62798863869,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
MS,2025-03-01,3,2025,5464.806777867294,4365.772500178135,6563.841055556453,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
MT,2025-01-01,1,2025,3175.6667600056444,2823.274319196563,3528.059200814726,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
MT,2025-02-01,2,2025,2757.8277117714274,2338.951276617447,3176.7041469254077,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
MT,2025-03-01,3,2025,3194.7308269666282,2772.3637620061863,3617.09789192707,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
NC,2025-01-01,1,2025,39289.304084625954,35974.25038585882,42604.35778339309,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
NC,2025-02-01,2,2025,37326.90286417978,33909.28954075196,40744.516187607594,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
NC,2025-03-01,3,2025,39493.29964755703,35980.10132601524,43006.497969098826,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
ND,2025-01-01,1,2025,2855.568629754007,2532.8401546991854,3178.2971048088284,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
ND,2025-02-01,2,2025,2583.8074429642575,2211.1526402424747,2956.46224568604,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
ND,2025-03-01,3,2025,2924.1131521122693,2535.3840330754992,3312.8422711490393,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
NH,2025-01-01,1,2025,3175.839288618314,2710.6906007744474,3640.987976462181,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
NH,2025-02-01,2,2025,2957.8761977935183,2405.421643293652,3510.3307522933846,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
NH,2025-03-01,3,2025,3455.1703784573824,2871.3834579137283,4038.9572990010365,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
OH,2025-01-01,1,2025,32038.437628224296,28008.488764170055,36068.386492278536,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
OH,2025-02-01,2,2025,30168.01380868587,25113.731060184768,35222.29655718698,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
OH,2025-03-01,3,2025,33227.93834163322,27763.0336381015,38692.84304516494,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
OK,2025-01-01,1,2025,16526.8533539318,14472.6612734207,18581.0454344429,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
OK,2025-02-01,2,2025,15236.348109053888,12667.24541324143,17805.45080486635,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
OK,2025-03-01,3,2025,16626.876561363675,13484.995681812237,19768.757440915113,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
OR,2025-01-01,1,2025,15278.850984356288,13611.565820549053,16946.13614816352,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
OR,2025-02-01,2,2025,14416.608140991697,12126.271222959385,16706.94505902401,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
OR,2025-03-01,3,2025,15473.926350862896,12642.824258706958,18305.028443018833,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
PA,2025-01-01,1,2025,21799.13162132258,18979.026162126283,24619.237080518877,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
PA,2025-02-01,2,2025,19948.96916155457,16612.357291778855,23285.581031330286,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
PA,2025-03-01,3,2025,21070.404902105787,16431.68650968387,25709.123294527704,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
RI,2025-01-01,1,2025,2167.5163505857117,1818.6248707744364,2516.4078303969873,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
RI,2025-02-01,2,2025,1947.273916378406,1537.861364578562,2356.6864681782504,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
RI,2025-03-01,3,2025,2268.745661363144,1853.6396623250832,2683.8516604012048,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
SC,2025-01-01,1,2025,22112.707702196923,20454.389247379397,23771.02615701445,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
SC,2025-02-01,2,2025,20181.83281425814,18234.913988313023,22128.75164020326,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
SC,2025-03-01,3,2025,22464.97431892296,20495.163230860573,24434.785406985346,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
SD,2025-01-01,1,2025,3125.940258917881,2744.9001282519216,3506.98038958384,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
SD,2025-02-01,2,2025,2956.8043111194565,2551.6030856083753,3362.005536630538,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
SD,2025-03-01,3,2025,3325.469678566946,2917.92860426534,3733.0107528685526,"SARIMA(0, 1, 2)x(0, 1, 1, 12)",2024-12-01
