state_abb,order,seasonal_order,development_aic
AL,"(0, 1, 2)","(0, 1, 1, 12)",923.1359175156498
AR,"(0, 1, 2)","(0, 1, 1, 12)",952.7985221520075
AZ,"(0, 1, 2)","(0, 1, 1, 12)",893.0162306759888
CO,"(0, 1, 2)","(0, 1, 1, 12)",994.5400549456249
CT,"(0, 1, 2)","(0, 1, 1, 12)",852.3661871541003
DC,"(0, 1, 2)","(0, 1, 1, 12)",924.1193925142709
DE,"(0, 1, 2)","(0, 1, 1, 12)",798.1692143927514
FL,"(2, 1, 0)","(1, 1, 0, 12)",613.0432277754353
IA,"(0, 1, 2)","(0, 1, 1, 12)",885.5580773132597
ID,"(0, 1, 2)","(0, 1, 1, 12)",785.0411112472292
IL,"(0, 1, 2)","(0, 1, 1, 12)",1038.4261147092566
IN,"(0, 1, 2)","(0, 1, 1, 12)",985.6626719702059
KS,"(0, 1, 2)","(0, 1, 1, 12)",874.2094075396071
KY,"(0, 1, 2)","(0, 1, 1, 12)",883.4787698007398
LA,"(0, 1, 2)","(0, 1, 1, 12)",919.0773727618454
MA,"(0, 1, 2)","(0, 1, 1, 12)",1002.1253105048154
MD,"(0, 1, 2)","(0, 1, 1, 12)",734.3725597211902
ME,"(0, 1, 2)","(0, 1, 1, 12)",751.7529954904786
MI,"(0, 1, 2)","(0, 1, 1, 12)",995.0483546790501
MN,"(0, 1, 2)","(0, 1, 1, 12)",672.9774807406171
MO,"(0, 1, 2)","(0, 1, 1, 12)",963.2327701434212
MS,"(0, 1, 2)","(0, 1, 1, 12)",844.3721741002091
MT,"(0, 1, 2)","(0, 1, 1, 12)",758.8592772031764
NC,"(0, 1, 2)","(0, 1, 1, 12)",150.07197157548185
ND,"(0, 1, 2)","(0, 1, 1, 12)",748.8930696582685
NH,"(0, 1, 2)","(0, 1, 1, 12)",780.7005030807522
OH,"(0, 1, 2)","(0, 1, 1, 12)",1018.8557547793973
OK,"(0, 1, 2)","(0, 1, 1, 12)",963.9154083206836
OR,"(0, 1, 2)","(0, 1, 1, 12)",926.992984446179
PA,"(0, 1, 2)","(0, 1, 1, 12)",990.8847767225554
RI,"(0, 1, 2)","(0, 1, 1, 12)",758.9879275032624
SC,"(0, 1, 2)","(0, 1, 1, 12)",934.5005331927039
SD,"(0, 1, 2)","(0, 1, 1, 12)",737.5944647756635
TN,"(0, 1, 2)","(0, 1, 1, 12)",968.5723253630995
TX,"(0, 1, 2)","(0, 1, 1, 12)",1135.7981875223363
UT,"(0, 1, 2)","(0, 1, 1, 12)",870.5740390029118
VA,"(0, 1, 2)","(0, 1, 1, 12)",970.0675246906203
VT,"(0, 1, 2)","(0, 1, 1, 12)",695.0250581543312
WA,"(0, 1, 2)","(0, 1, 1, 12)",1108.4784738809087
WI,"(0, 1, 2)","(0, 1, 1, 12)",912.011364197991
WV,"(0, 1, 2)","(0, 1, 1, 12)",841.6463035095613
