state_abb,date,year,month,incidents
AL,2015-01-01,2015,1,364.0
AL,2015-02-01,2015,2,266.0
AL,2015-03-01,2015,3,358.0
AL,2015-04-01,2015,4,369.0
AL,2015-05-01,2015,5,360.0
AL,2015-06-01,2015,6,415.0
AL,2015-07-01,2015,7,382.0
AL,2015-08-01,2015,8,340.0
AL,2015-09-01,2015,9,376.0
AL,2015-10-01,2015,10,412.0
AL,2015-11-01,2015,11,390.0
AL,2015-12-01,2015,12,445.0
AL,2016-01-01,2016,1,324.0
AL,2016-02-01,2016,2,223.0
AL,2016-03-01,2016,3,260.0
AL,2016-04-01,2016,4,245.0
AL,2016-05-01,2016,5,264.0
AL,2016-06-01,2016,6,208.0
AL,2016-07-01,2016,7,277.0
AL,2016-08-01,2016,8,270.0
AL,2016-09-01,2016,9,253.0
AL,2016-10-01,2016,10,229.0
AL,2016-11-01,2016,11,243.0
AL,2016-12-01,2016,12,260.0
AL,2017-01-01,2017,1,298.0
AL,2017-02-01,2017,2,265.0
AL,2017-03-01,2017,3,297.0
AL,2017-04-01,2017,4,267.0
AL,2017-05-01,2017,5,327.0
AL,2017-06-01,2017,6,315.0
AL,2017-07-01,2017,7,333.0
AL,2017-08-01,2017,8,334.0
AL,2017-09-01,2017,9,302.0
AL,2017-10-01,2017,10,336.0
AL,2017-11-01,2017,11,328.0
AL,2017-12-01,2017,12,385.0
AL,2018-01-01,2018,1,376.0
AL,2018-02-01,2018,2,261.0
AL,2018-03-01,2018,3,85.0
AL,2018-04-01,2018,4,91.0
AL,2018-05-01,2018,5,279.0
AL,2018-06-01,2018,6,284.0
AL,2018-07-01,2018,7,218.0
AL,2018-08-01,2018,8,388.0
AL,2018-09-01,2018,9,187.0
AL,2018-10-01,2018,10,483.0
AL,2018-11-01,2018,11,389.0
AL,2018-12-01,2018,12,408.0
AL,2019-01-01,2019,1,470.0
AL,2019-02-01,2019,2,412.0
AL,2019-03-01,2019,3,412.0
AL,2019-04-01,2019,4,451.0
AL,2019-05-01,2019,5,483.0
AL,2019-06-01,2019,6,446.0
AL,2019-07-01,2019,7,546.0
AL,2019-08-01,2019,8,555.0
AL,2019-09-01,2019,9,461.0
AL,2019-10-01,2019,10,481.0
AL,2019-11-01,2019,11,489.0
AL,2019-12-01,2019,12,559.0
AL,2020-01-01,2020,1,2812.0
AL,2020-02-01,2020,2,2426.0
AL,2020-03-01,2020,3,2478.0
AL,2020-04-01,2020,4,2156.0
AL,2020-05-01,2020,5,2495.0
AL,2020-06-01,2020,6,1043.0
AL,2020-07-01,2020,7,606.0
AL,2020-08-01,2020,8,686.0
AL,2020-09-01,2020,9,691.0
AL,2020-10-01,2020,10,888.0
AL,2020-11-01,2020,11,772.0
AL,2020-12-01,2020,12,1413.0
AL,2021-01-01,2021,1,9627.0
AL,2021-02-01,2021,2,10997.0
AL,2021-03-01,2021,3,12278.0
AL,2021-04-01,2021,4,12017.0
AL,2021-05-01,2021,5,13897.0
AL,2021-06-01,2021,6,13549.0
AL,2021-07-01,2021,7,14960.0
AL,2021-08-01,2021,8,14933.0
